Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,0.0479457904379546,0.07564902413183792,0.5950213713119834,0.012398917183237454,0.020716974070413573,0.1749110967798312,0.048060835738419044,0.0008762900477876843,0.021386058566623425,0.0030336417319122614
2,0.05685452486349221,0.027038854053014892,0.2791894648849021,0.03314358046290639,0.02100816082815348,0.07136368561474625,0.050293357997988196,0.0030487828010565972,0.44916948391413497,0.008890104579604674
3,0.8131150880450931,0.009568674534300067,0.0038029518853290923,0.006514470241895739,0.039481333932066584,0.020040637755930388,0.034853077595757634,0.0581067558474374,0.0014067775915069987,0.013110232570683443
4,0.8518404297167775,0.05553935983841892,0.015047641554449858,0.01042100398616269,0.01669095428330253,0.012821864909417752,0.01526694830912769,0.005748535021473959,0.004830372407661334,0.011792889973207703
5,0.8757672587618223,0.023007223181169083,0.01233215671929026,0.00838565449898341,0.011946790487536064,0.025262015199383533,0.016382892267809236,0.010499791115417625,0.0030727924840182326,0.013343425284569556
6,0.33892629371114047,0.00459871189872327,0.0037467992220654024,0.013341789893383398,0.12304981135616773,0.07701274588843474,0.04839870627789986,0.3715192024972113,0.002357938358591604,0.01704800089638255
7,0.19946261022997278,0.07539750145284518,0.01877795351160606,0.05402907831197647,0.1277455455508032,0.09396277370896924,0.07773344438737188,0.006925737714507537,0.33582896126806977,0.0101363938638783
8,0.7702221557768172,0.015305797354591442,0.002748049302484683,0.01645294440759236,0.050846315279593234,0.014994288666299482,0.033795766708906376,0.07211324832043993,0.0019140100355924169,0.02160742414768291
9,0.9353899104317865,0.0026515214173300377,0.001930354750109508,0.0008420412400273065,0.024731105581299543,0.0032795439575728502,0.012618241399995738,0.013984256435577828,0.0012698560977189017,0.003303168688582226
10,0.23977339896368755,0.6348867272374209,0.012739357229049649,0.018417739560443028,0.011075033058574728,0.05844005828626971,0.009503166226485872,0.0056864689900406875,0.00455689765626041,0.004921152791766601
11,0.8608368991410134,0.004694060727964146,0.0005464454805863038,0.0007327487813051657,0.03050011324124294,0.004115065547645368,0.05196449878677262,0.03649375395542198,0.00047957564457046513,0.009636838693477642
12,0.13052982639561667,0.01078930562794306,0.017273603715057935,0.11631672715081494,0.11784708029601138,0.04267040574131847,0.09782101016486006,0.10850966173465335,0.007235560572658492,0.3510068186010657
13,0.9282903602637024,0.017556149967520907,0.0025500318556751222,0.0033492793930468587,0.005047985524527361,0.010519718966831753,0.00956008138775594,0.010988899806909973,0.0009887299279238743,0.011148762906105742
14,0.2569458805185306,0.09046658690059878,0.0263529756884597,0.1319557637715993,0.06400517785053399,0.12907028991033676,0.0600360648514234,0.10405984722387757,0.05134213550183097,0.08576527778280849
15,0.46527431168397076,0.09492489214403867,0.014511859630656217,0.22009740405328881,0.04720796851291286,0.040008393810276086,0.05932079503425639,0.02278775715441338,0.005372754071152599,0.030493863905034016
16,0.30488551232713146,0.018063447149639502,0.00478839540893848,0.15264086047401404,0.04555769401578021,0.033953956559875785,0.028839787751485157,0.37107250109143786,0.0039578810430196,0.03623996417867828
17,0.15370456944269198,0.2919262167334578,0.27926329850902676,0.06351818356714244,0.027370465710749504,0.06711680982011144,0.05469312583647159,0.0026808806358725604,0.043948110068032877,0.01577833967644284
18,0.6424714731835229,0.1615628317738745,0.04389774394687007,0.03348398506888316,0.024195227587268595,0.02372291057047972,0.03230205562499939,0.01108566748534355,0.012208939162813171,0.015069165595945533
19,0.11075052276278183,0.026108368891350563,0.48911363276489067,0.017036753822302127,0.037180422286287214,0.15635418766025386,0.05726855733829634,0.006984713697656417,0.08484259245048652,0.014360248325694469
20,0.378005648338347,0.568970911732086,0.006069872992946404,0.00706167091736633,0.009472051036353225,0.004900811932436589,0.01933148273050944,0.0011455297006659022,0.0025143629382600612,0.0025276576810290058
21,0.25953080462651423,0.5454378043816609,0.07477257356381835,0.026411577928309476,0.016790290162414293,0.013703351405025184,0.03460912884590484,0.008376447537097303,0.007029486656979361,0.013338534892275827
22,0.7504941396961807,0.005737223295726531,0.002018398587975697,0.023675869443490472,0.03599171554983123,0.07494723576457973,0.035507243151374886,0.027247484541753422,0.014402085055447824,0.02997860491363906
23,0.648338197785259,0.03522441961755613,0.003079325588960329,0.096750700469427,0.13209881112652538,0.005202914323234589,0.036315297886252165,0.01854544479405005,0.0015923611135061889,0.022852527295229342
24,0.5607397230598097,0.0799045144959846,0.00664903784395026,0.1292920634112857,0.011795664630153196,0.022681006137002795,0.026078555449631034,0.11939799780587239,0.000966428399207385,0.04249500876710278
25,0.8110820847689016,0.13168562774499387,0.005509479794772763,0.004047260052774929,0.008545449779157667,0.0029573862782314286,0.020348288785652126,0.010679384166802057,0.0005971037065731496,0.004547934922140288
26,0.00546989877556108,0.03744411365883304,0.0012652997873516072,0.9319291025447174,0.003230079115995116,0.007002816819191718,0.011197608162931734,0.0002862153480630906,0.000618818672012021,0.0015560471153424874
27,0.005591576197142462,0.016506938720988042,0.8612964557956873,0.004865704344731175,0.003818969119281239,0.08857432248687137,0.009665017287054005,0.000127799920323055,0.008955639341690148,0.0005975767862311168
28,0.28820901305139524,0.000407467919343639,0.0008846897348247871,0.0012142918403956755,0.04379561822739436,0.007052185936429729,0.013204100207655452,0.635190416224249,0.0028193797585065296,0.007222837099805701
29,0.6839905923747006,0.0017315904378092017,0.0017239489609274293,0.007458421258900559,0.06512526625940691,0.05766143583769643,0.021998760527779188,0.14141968676921982,0.012191075014464703,0.006699222559095254
30,0.9243299049490585,0.008292772177466988,0.0027832807844991765,0.0017269217823870989,0.01332002503615086,0.018504463037328105,0.013922630455220016,0.01157432736399657,0.0006143837791134992,0.004931290634778871
31,0.019209160254573684,0.02489894173139319,0.0028184187003352026,0.8768759241127273,0.00569140814024294,0.020198337450804467,0.020039752424348526,0.004770392249952549,0.0012176201654363625,0.024280044770185378
32,0.8683795231129238,0.035049212297386785,0.005440362059698062,0.004746276174874595,0.04774059660387943,0.005469352308689202,0.016662831095663817,0.002244117252386125,0.0010673718618040332,0.013200357232694403
33,0.7622009292096017,0.03924933214154746,0.0009227092752769391,0.006523949762749257,0.009715307505905834,0.007303383666766069,0.02874629001514326,0.10733204560880316,0.0005957461079071726,0.037410306706298746
34,0.1618127013028724,0.005537235373818456,0.00754738765589591,0.01456966087300876,0.4967723059294658,0.0556646353485495,0.07304895712277243,0.05465458760356306,0.07259411237042254,0.057798416419631245
35,0.03008044743747841,0.012930947922086428,0.0023976877722477288,0.7974396943349769,0.028291043149966708,0.07095944086790593,0.021254293839366018,0.011409980007199005,0.0031746999740792973,0.022061764694693977
36,0.3540573856823381,0.2025215088619819,0.0625072884202155,0.13381495743704602,0.032218959818580965,0.08372123492949464,0.04039925296810368,0.02759032587183647,0.011305481582927398,0.05186360442747528
37,0.8679364432740406,0.030687302250591235,0.006548210489784351,0.007266337564654187,0.011907010980048397,0.027865078806041634,0.016308767548256366,0.01205785684390529,0.0023451733426118736,0.017077818900066637
38,0.9198011275007657,0.013282586278357643,0.0048746001385570345,0.00319672389421232,0.022905711922074468,0.006575277778099681,0.01447926494931292,0.003499330878043283,0.0012702590598424126,0.010115117600734648
39,0.8957920549307672,0.016529528933380687,0.005240093705159867,0.011791988354801467,0.016787337607326026,0.005686176283354781,0.00922989953828501,0.028488877249830114,0.002392801484653162,0.00806124191244209
40,0.5347057337274409,0.3212592818051924,0.0026605349672994094,0.02980390933310565,0.0532731666459692,0.00868533157912365,0.02669531015872266,0.013442206409653337,0.005066224841614622,0.004408300531878377
41,0.8115365863996559,0.0027082207874553426,0.0005161701860992646,0.003574800780213731,0.0816105598377356,0.015564447381506802,0.03297313450333158,0.02349274195547276,0.000688311987440108,0.027335026181088875
42,0.17863271199177916,0.734620050393567,0.009704599528711581,0.014221213360598093,0.009702749823340077,0.004924453671801589,0.017411596039345237,0.001412437876663521,0.02143534369533066,0.007934843618862921
